OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR
81,Nps_394,Center Parking,NACE,840,"Pennsylvania Ave., Between 3rd & 4th Sts.SE",8,,NPS,037B,,269.486062771519,1577.16974124377,0790,,0000,RES 037B0000,
82,Nps_397,Center Parking,NACE,840,"Pennsylvania Ave., Between North Carolina Ave. & 4th St, SE",8,,NPS,038A,,182.060742313275,1016.24095922728,0819,S,0000,RES 038A0000,
83,Nps_401,Center Parking,NACE,840,"Pennsylvania Ave., Between North Carolina Ave. & 6th St., SE",8,,NPS,041A,,182.367104857844,1002.44658315613,0843,S,0000,RES 041A0000,
84,Nps_403,Center Parking,NACE,840,"Pennsylvania Ave, Between 6th & 7th sts., SE",8,,NPS,041B,,435.809145205149,2579.79511335382,0874,,0000,RES 041B0000,
85,Nps_408,Center Parking,NACE,840,"Pennsylvania  Ave., Between 7th & 8th sts., SE",1,,NPS,044A,,218.861974955998,1271.83725957825,0901,S,0000,RES 044A0000,
86,Nps_411,Center Parking,NACE,840,"Pennsylvania Ave., Between 8th & 9th Sts.SE",8,,NPS,047A,,222.744604586365,1254.66909154879,0924,S,0000,RES 047A0000,
87,Nps_413,Center Parking,NACE,840,"Pennsylvania Ave., Between 9th & 10th Sts.SE",8,,NPS,047B,,211.67636782307,1159.05763362215,0948,,0000,RES 047B0000,
88,Nps_415,Center Parking,NACE,840,"Pennsylvania Ave., Between 10th & 11th Sts., SE",8,,NPS,050A,,199.250697828264,1053.87101590606,0973,,0000,RES 050A0000,
89,Nps_417,Triangle,NACE,840,"Pennsylvania Ave., Between 10th & E Sts., SE",1,,NPS,050,,97.2537027532755,352.297205709715,0973,,0000,RES 00500000,
90,Nps_419,Triangle,NACE,840,"Pennsylvania Ave., Between 12th & E Sts., SE",1,,NPS,051,,132.7730467481,651.482590413669,0994,,0000,RES 00510000,
91,Nps_418,Center Parking,NACE,840,"Pennsylvania Ave., Between 11th & 12th Sts., SE",1,,NPS,051A,,232.317250444926,1306.37948957405,0994,,0000,RES 051A0000,
92,Nps_423,Center Parking,NACE,840,"Pennsylvania Ave., Between 12th & 13th Sts., SE",8,,NPS,052A,,366.726845671707,2252.70860872852,1019,S,0000,RES 052A0000,
93,Nps_426,Triangle,NACE,840,"Pennsylvania Ave., Between 13th & G Sts., SE",8,,NPS,052,,104.115548715141,437.375297565859,1019,S,0000,RES 00520000,
94,Nps_431, , ,0, , ,,NPS,054M,,22.4188452650744,27.760127794349,0000,,0000,RES 054E0000,
95,Nps_436,Triangle,NACE,840,"Pennsylvania  Ave., Between Potomac & 14th sts., SE", ,,NPS,054C,,30.8010321909005,45.2062565107894,0000,,0000,RES 054F0000,
96,Nps_432,Triangle,NACE,840,North Side Pennsylvania  Ave. At Potomac Ave, ,,NPS,054E,,123.557820400357,680.232490670318,1046,NE,0000,RES 00540000,
97,Nps_433,Triangle,NACE,840,"South Side Pennsylvania Ave. At Potomac Ave., SE", ,,NPS,054F,,167.630570340243,933.390676892579,1046,NE,0000,RES 054D0000,
98,Nps_434,Center Parking,NACE,840,"Pennsylvania  Ave & Potomac Aves., SE", ,,NPS,054D,,114.236981827873,519.859487602713,1046,NE,0000,RES 054C0000,
99,Nps_435,Center Parking,NACE,840,"Pennsylvania  Ave., Between 14th & 15th sts., SE", ,,NPS,054A,,274.883917151787,1593.05657001471,1065,,0000,RES 054A0000,
100,Nps_439,Center Parking,NACE,840,"Pennsylvania  Ave., Between 15th & 16th sts., SE", ,,NPS,054B,,392.933593040625,2335.42946649832,1078,,0000,RES 054B0000,
101,Nps_425,Benjamin Banneker Park,NACC,893,"10th St. Overlook & Maine Ave., SW",9,,NPS,719,Benjamin Banneker Park,1520.11507471413,20734.3762890392,"0355,0389",,0000,RES 07190000,
102,Nps_399,Park,NACC,875,"C St., Between 7th & 9th Sts., SW",1,,NPS,113,,391.079314305606,5340.10039653797,0000,,0000,RES 01130000,
103,Nps_404,Triangle,NACC,875,"Virginia Ave., Between 6th & D Sts., SW",1,,NPS,115,,79.0892313677565,307.981044429284,0000,,0000,RES 01150000,
104,Nps_478,Park,NACE,892,"V St., Between 1st & Canal Sts., SW",9,,NPS,467,,938.730444710517,15881.8702119625,0613,,0000,RES 04670000,
105,Nps_473,Fort Davis,NACE,882,"Pennsylvania & Alabama Aves., SE","8, 9",,NPS,336,Fort Davis,972.884544493737,53935.811768866,0000,,0000,RES 03360000,
106,Nps_479,Frederick Douglass Home,NACE,833,"1411 W St., SE",10,,NPS,716,Frederick Douglass Home,815.168830936185,34405.7070152691,PAR ,,0006,PAR 02250006,0225
107,Nps_458,Twining Square,NACE,892,"Pennsylvania Ave., Between Minnesota Ave. & 25th St., SE",8,,NPS,487,Twining Square,316.125631625436,1301.89869507974,5560,,0000,RES 487C0000,
108,Nps_455,"Anacostia Park, Section D",NACE,831,"Anacostia River, Between Sousa & 11th St. Bridges,","6, 9",,NPS,343D,Anacostia Park,2621.98124427746,203716.851388633,PAR ,,0037,PAR 02170037,0217
109,Nps_459,Center Parking,NACE,892,"Pennsylvania Ave., East Of Minnesota., SE",8,,NPS,487A,,174.579685119158,1148.23369023782,5556,,0000,RES 04870000,
